%time,field.cur_steer_state0,field.cur_steer_state1,field.cur_steer_state2,field.cur_steer_dir0,field.cur_steer_dir1,field.cur_steer_dir2,field.cur_steer_vel0,field.cur_steer_vel1,field.cur_steer_vel2,field.cur_arm_angle0,field.cur_arm_angle1,field.cur_spring_length0,field.cur_spring_length1,field.odom_axis0,field.odom_axis1,field.odom_axis2,field.odom_cir0,field.odom_cir1,field.odom_cir2,field.cur_current10,field.cur_current11,field.cur_current12,field.cur_current20,field.cur_current21,field.cur_current22,field.cur_current30,field.cur_current31,field.cur_current32,field.mech_pos0,field.mech_pos1,field.mech_pos2
1754551890997433864,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.4800033569336,69.88999938964844,54.65999984741211,55.45000076293945,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,-3.640000104904175,0.0,0.0,27.469999313354492
1754551891007270123,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.4800033569336,70.25,54.61000061035156,55.45000076293945,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,-3.0199999809265137,0.0,0.0,27.440000534057617
1754551891017432196,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.4800033569336,68.98999786376953,54.61000061035156,55.439998626708984,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,-6.239999771118164,0.0,0.0,27.40999984741211
1754551891027447492,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.4800033569336,68.98999786376953,54.59000015258789,55.459999084472656,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,-3.6700000762939453,0.0,0.0,27.3700008392334
1754551891037358035,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.38999938964844,69.70999908447266,54.66999816894531,55.459999084472656,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,-6.71999979019165,0.0,0.0,27.34000015258789
1754551891047331658,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.4800033569336,69.08000183105469,54.66999816894531,55.470001220703125,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,-6.71999979019165,0.0,0.0,27.34000015258789
1754551891057386013,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.4800033569336,69.08000183105469,54.61000061035156,55.470001220703125,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,-6.71999979019165,0.0,0.0,27.34000015258789
1754551891067382927,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.56999969482422,68.9000015258789,54.599998474121094,55.470001220703125,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.0,0.0,-6.71999979019165,0.0,0.0,27.34000015258789
1754551891077404352,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.4800033569336,68.7300033569336,54.599998474121094,55.470001220703125,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,-6.71999979019165,0.0,0.0,27.34000015258789
1754551891087258921,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.4800033569336,68.7300033569336,54.560001373291016,55.459999084472656,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,-3.930000066757202,0.0,0.0,27.170000076293945
